,state,date,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,m50,m50_index,fips_y,cases,deaths,log_cases,COVID-19_mobility_pool_indicator
0,Alabama,2021-01-15,-18.0,-12.0,-16.0,-17.0,-24.0,9.0,10.199,96.0,1,417528,6030,12.942106886892496,-1.872487602222117
1,Alaska,2021-01-15,-19.0,-14.0,-6.0,-33.0,-31.0,12.0,3.5210000000000004,87.0,2,51163,220,10.842771893535705,-10.522188103614948
2,Arizona,2021-01-15,-23.0,-14.0,-25.0,-30.0,-37.0,13.0,4.726,60.0,4,662597,11060,13.40392224121921,-14.308237923332229
3,Arkansas,2021-01-15,-17.0,-10.0,0.0,-12.0,-24.0,9.0,8.398,87.0,5,267635,4263,12.497379390910858,1.8059553980846585
4,California,2021-01-15,-37.0,-18.0,-24.0,-51.0,-43.0,16.0,2.0269999999999997,29.0,6,2937755,32947,14.893156242177549,-23.815500977022175
5,Colorado,2021-01-15,-27.0,-12.0,-17.0,-41.0,-35.0,13.0,4.703,66.0,8,373647,5417,12.83106678042215,-15.063174066442379
6,Connecticut,2021-01-15,-27.0,-18.0,-20.0,-40.0,-32.0,14.0,4.412,65.0,9,223422,6594,12.31681763883484,-15.898129856131952
7,Delaware,2021-01-15,-22.0,-12.0,-18.0,-45.0,-33.0,13.0,5.62,67.0,10,68727,1002,11.137897414101458,-14.678140690578743
8,District of Columbia,2021-01-15,-58.0,-30.0,-54.0,-72.0,-59.0,21.0,0.794,21.0,11,33140,842,10.408496290980555,-41.65832295287844
9,Florida,2021-01-15,-23.0,-14.0,-29.0,-37.0,-29.0,9.0,6.76,82.0,12,1548059,23798,14.252512446100592,-14.466258937480559
10,Georgia,2021-01-15,-21.0,-13.0,-7.0,-32.0,-31.0,11.0,8.408,86.0,13,776485,11757,13.562532603934198,-5.845329553033514
11,Hawaii,2021-01-15,-36.0,-23.0,-41.0,-56.0,-34.0,13.0,4.792,70.0,15,24032,315,10.08714155456386,-26.105849126068144
12,Idaho,2021-01-15,-13.0,-8.0,-3.0,-21.0,-24.0,8.0,4.697,86.0,16,154785,1606,11.949792336217925,-4.347399887674384
13,Illinois,2021-01-15,-33.0,-16.0,-38.0,-45.0,-35.0,14.0,4.7589999999999995,65.0,17,1062121,19876,13.87577841026368,-22.09047946795649
14,Indiana,2021-01-15,-19.0,-14.0,-12.0,-19.0,-24.0,10.0,6.933,83.0,18,586206,9246,13.281426542621082,-4.765523614402317
15,Iowa,2021-01-15,-32.0,-21.0,-26.0,-37.0,-38.0,17.0,2.551,36.0,19,303927,4257,12.624542819973207,-19.616559899840254
16,Kansas,2021-01-15,-27.0,-24.0,-25.0,-19.0,-25.0,10.0,4.623,62.0,20,259196,3514,12.465339811242416,-11.826392756854816
17,Kentucky,2021-01-15,-23.0,-9.0,-10.0,-19.0,-30.0,11.0,7.374,85.0,21,324505,3395,12.690056223328067,-4.423356571075229
18,Louisiana,2021-01-15,-22.0,-11.0,-32.0,-26.0,-24.0,9.0,8.836,93.0,22,364853,8080,12.807249811717176,-9.817820915727898
19,Maine,2021-01-15,-24.0,-9.0,10.0,-37.0,-27.0,11.0,6.237,87.0,23,32781,477,10.397604358238855,-4.636695478862524
20,Maryland,2021-01-15,-30.0,-17.0,-18.0,-49.0,-41.0,17.0,4.063,51.0,24,320923,6494,12.678956497948041,-18.787104764091755
21,Massachusetts,2021-01-15,-33.0,-18.0,-19.0,-59.0,-40.0,17.0,3.6630000000000003,60.0,25,459927,13509,13.038823060219617,-22.115029535696657
22,Michigan,2021-01-15,-36.0,-19.0,-21.0,-38.0,-33.0,15.0,5.615,70.0,26,578294,14539,13.267837668854721,-15.481517280077233
23,Minnesota,2021-01-15,-36.0,-27.0,-28.0,-52.0,-40.0,19.0,3.555,48.0,27,443630,5918,13.002746160665785,-23.534299621136384
24,Mississippi,2021-01-15,-17.0,-15.0,-18.0,-4.0,-21.0,7.0,11.304,100.0,28,248189,5411,12.421945831673021,1.948812277219698
25,Missouri,2021-01-15,-27.0,-22.0,-28.0,-25.0,-22.0,13.0,5.497000000000001,58.0,29,464931,6619,13.049644286462264,-12.649536082045145
26,Montana,2021-01-15,-17.0,-8.0,-16.0,-12.0,-18.0,8.0,4.016,96.0,30,88725,1086,11.393296977514698,-6.065538385546313
27,Nebraska,2021-01-15,-41.0,-31.0,-47.0,-35.0,-39.0,20.0,2.3169999999999997,34.0,31,181895,1904,12.111184876497855,-26.119578634312134
28,Nevada,2021-01-15,-27.0,-17.0,-33.0,-46.0,-35.0,13.0,4.083,57.0,32,258451,3704,12.462461399837052,-21.223504537740112
29,New Hampshire,2021-01-15,-23.0,-9.0,7.0,-36.0,-28.0,13.0,5.879,66.0,33,55500,908,10.924138299734526,-5.409632904660787
30,New Jersey,2021-01-15,-32.0,-13.0,-20.0,-49.0,-39.0,16.0,3.76,52.0,34,616086,20320,13.331141843160644,-19.459284326054572
31,New Mexico,2021-01-15,-30.0,-13.0,-23.0,-23.0,-35.0,13.0,3.846,64.0,35,161805,2876,11.994147185477638,-13.486915723974818
32,New York,2021-01-15,-38.0,-17.0,-39.0,-53.0,-39.0,15.0,2.8819999999999997,55.0,36,1213179,40203,14.00875474505229,-27.00424239702135
33,North Carolina,2021-01-15,-24.0,-12.0,-14.0,-35.0,-31.0,11.0,7.4510000000000005,76.0,37,661506,7996,13.402274332790798,-9.554053232459264
34,North Dakota,2021-01-15,-23.0,-24.0,-28.0,-28.0,-20.0,12.0,4.093999999999999,95.0,38,95621,1395,11.468147740188575,-14.346894420006974
35,Ohio,2021-01-15,-24.0,-16.0,-9.0,-25.0,-28.0,12.0,6.17,77.0,39,814442,10057,13.610258495157854,-7.076223771738158
36,Oklahoma,2021-01-15,-19.0,-14.0,-30.0,-12.0,-25.0,10.0,8.216000000000001,85.0,40,348044,2925,12.760084187545765,-6.466712232999253
37,Oregon,2021-01-15,-32.0,-14.0,-13.0,-41.0,-36.0,13.0,3.173,61.0,41,131296,1763,11.785209595241913,-16.280474360093685
38,Pennsylvania,2021-01-15,-30.0,-16.0,-21.0,-44.0,-33.0,14.0,4.696000000000001,74.0,42,760552,18978,13.541799764412325,-17.111819064223546
39,Rhode Island,2021-01-15,-28.0,-17.0,7.0,-53.0,-33.0,13.0,4.243,69.0,44,104443,2005,11.556396747027101,-12.50007182667038
40,South Carolina,2021-01-15,-20.0,-13.0,-28.0,-18.0,-27.0,9.0,8.151,85.0,45,375967,6037,12.837256652562928,-7.729073045178847
41,South Dakota,2021-01-15,-26.0,-15.0,-28.0,-31.0,-27.0,16.0,2.8989999999999996,56.0,46,104937,1629,11.561115449067628,-16.497921630981097
42,Tennessee,2021-01-15,-20.0,-12.0,-16.0,-23.0,-27.0,10.0,8.597000000000001,84.0,47,663486,8233,13.405263032305713,-5.330638272466196
43,Texas,2021-01-15,-22.0,-13.0,-31.0,-30.0,-31.0,11.0,7.252000000000001,79.0,48,2096526,32212,14.555792247137806,-12.727011611780496
44,Utah,2021-01-15,-19.0,-11.0,3.0,-35.0,-32.0,11.0,5.182,73.0,49,320175,1475,12.676623000294272,-7.021739617240543
45,Vermont,2021-01-15,-29.0,-16.0,-21.0,-53.0,-30.0,13.0,4.967,84.0,50,9734,163,9.1833801903934,-18.686080551233925
46,Virginia,2021-01-15,-28.0,-14.0,-12.0,-40.0,-37.0,15.0,5.277,65.0,51,422634,5656,12.954261835258153,-13.268250664974008
47,Washington,2021-01-15,-31.0,-15.0,7.0,-51.0,-40.0,14.0,3.7510000000000003,60.0,53,290288,3972,12.578628812609944,-13.266699860704634
48,West Virginia,2021-01-15,-25.0,-16.0,-23.0,-24.0,-26.0,11.0,6.0729999999999995,78.0,54,106649,1733,11.577298347390464,-10.469433951742989
49,Wisconsin,2021-01-15,-29.0,-16.0,-12.0,-30.0,-27.0,14.0,5.386,81.0,55,563866,5771,13.242571913599058,-10.1543204696418
50,Wyoming,2021-01-15,-21.0,-10.0,-9.0,-4.0,-16.0,7.0,4.033,100.0,56,48909,522,10.797716707607764,-2.7387677788156672
